"TABLE 1","","","","",""
"#","R.","Nome","Squadra","FVM","Quot ."
"# 18","C ( M , C )","Sulemana I.","Cagliari","4 ( 5 )","4 ( 3 )"
"# 19","C ( C )","Kourfalidis","Cagliari","4 ( 3 )","3 ( 2 )"
"# 20","C ( M , C )","Prati","Cagliari","4 ( 5 )","2 ( 3 )"
"# 21","C ( C )","Viola","Cagliari","4 ( 4 )","2 ( 2 )"
"# 22","C ( M , C )","Rog","Cagliari","1 ( 1 )","1 ( 1 )"
"# 23","A ( Pc )","Lapadula","Cagliari","41 ( 35 )","14 ( 14 )"
"# 24","A ( Pc )","Shomurodov","Cagliari","40 ( 34 )","12 ( 12 )"
"# 25","A ( A )","Luvumbo","Cagliari","9 ( 9 )","8 ( 8 )"
"# 26","A ( Pc )","Pavoletti","Cagliari","6 ( 4 )","4 ( 4 )"
"Empoli","","","","",""
"# 1","P ( Por )","Caprile","Empoli","10 ( 10 )","6 ( 6 )"
"# 2","P ( Por )","Perisan","Empoli","5 ( 5 )","2 ( 2 )"
"# 3","P ( Por )","Stubljar","Empoli","1 ( 1 )","1 ( 1 )"
"# 4","D ( Dd , E )","Ebuehi","Empoli","17 ( 17 )","10 ( 10 )"
"# 5","D ( DC )","Luperto","Empoli","10 ( 10 )","7 ( 7 )"
"# 6","D ( DC )","Ismajli","Empoli","9 ( 9 )","5 ( 5 )"
"# 7","D ( DS , E )","Pezzella Giu .","Empoli","5 ( 5 )","5 ( 5 )"
"# 8","D ( Dd , E )","Bereszynski","Empoli","4 ( 4 )","3 ( 3 )"
"# 9","D ( Ds , E )","Cacace","Empoli","8 ( 8 )","3 ( 3 )"
"# 10","D ( DC )","Walukiewicz","Empoli","4 ( 4 )","3 ( 3 )"
"# 11","D ( DC )","Guarino","Empoli","2 ( 2 )","1 ( 1 )"
"# 12","D ( DC )","Tonelli","Empoli","2 ( 2 )","1 ( 1 )"
"# 13","C ( T , A )","Baldanzi","Empoli","39 ( 36 )","15 ( 14 )"
"# 14","C ( M , C )","Marin","Empoli","14 ( 16 )","8 ( 9 )"
"","","","","",""
"TABLE 2","","","","",""
"","","","","",""
"# 26","A ( Pc )","Piccoli","Empoli","8 ( 7 )","7 ( 6 )"
"# 27","A ( A )","Cancellieri","Empoli","10 ( 12 )","5 ( 5 )"
"# 28","A ( Pc )","Shpendi S.","Empoli","1 ( 1 )","2 ( 2 )"
"# 29","A ( A )","Ekong","Empoli","1 ( 1 )","1 ( 1 )"
"Fiorentina","","","","",""
"# 1 #","P ( Por )","Terracciano","Fiorentina","22 ( 22 )","10 ( 10 )"
"# # 2","P ( Por )","Christensen O.","Fiorentina","8 ( 8 )","3 ( 3 )"
"# # 3","P ( Por )","Martinelli T.","Fiorentina","1 ( 1 )","1 ( 1 )"
"# # 4","D ( Ds , E )","Biraghi","Fiorentina","24 ( 24 )","11 ( 11 )"
"# # 5","D ( DC )","Milenkovic","Fiorentina","25 ( 25 )","10 ( 10 )"
"# # 6","D ( Dd , E )","Dodo '","Fiorentina","22 ( 22 )","8 ( 8 )"
"# # 7","D ( DC )","Mina","Fiorentina","18 ( 18 )","7 ( 7 )"
"# 8","D ( Ds , E )","Parisi","Fiorentina","20 ( 20 )","7 ( 7 )"
"# 9","D ( DC )","Martinez Quarta","Fiorentina","7 ( 7 )","5 ( 5 )"
"# 10","D ( Ds , Dc )","Ranieri L.","Fiorentina","8 ( 9 )","5 ( 6 )"
"# 11","D ( Dd , Ds , E )","Kayode","Fiorentina","8 ( 8 )","2 ( 3 )"
"# 12","D ( Dd , Ds , E )","Pierozzi","Fiorentina","2 ( 3 )","1 ( 2 )"
"# 13","C ( C , T )","Bonaventura","Fiorentina","42 ( 42 )","15 ( 15 )"
"# 14","C ( W )","Ikone '","Fiorentina","22 ( 22 )","12 ( 11 )"
"# 15","C ( T )","Barak","Fiorentina","20 ( 15 )","11 ( 10 )"
"# 16","C ( M , C )","Mandragora","Fiorentina","15 ( 16 )","10 ( 11 )"
"# 17","C ( C , T )","Castrovilli","Fiorentina","9 ( 9 )","9 ( 8 )"
"# 18","C ( M , C )","Arthur Melo","Fiorentina","16 ( 19 )","8 ( 9 )"
"# 19","C ( T.A )","Sabiri","Fiorentina","10 ( 7 )","8 ( 8 )"
"# 20","C ( W )","Sottil","Fiorentina","12 ( 12 )","8 ( 8 )"
"# 21","C ( C )","Duncan","Fiorentina","8 ( 7 )","7 ( 6 )"
"# 22","C ( M , C )","Amrabat","Fiorentina","17 ( 20 )","6 ( 7 )"
"# 23","C ( W , T )","Infantino","Fiorentina","10 ( 12 )","4 ( 6 )"
"# 24","C ( M , C )","Amatucci","Fiorentina","1 ( 2 )","1 ( 1 )"
"# 25","C ( C )","Benassi","Fiorentina","1 ( 1 )","1 ( 1 )"
"# 26","A ( Pc )","Nzola","Fiorentina","88 ( 83 )","22 ( 22 )"
"# 27","A ( A )","Gonzalez N.","Fiorentina","100 ( 100 )","17 ( 17 )"
"# 28","A ( Pc )","Beltran L.","Fiorentina","70 ( 65 )","16 ( 16 )"
"# 29","A ( Pc )","Jovic","Fiorentina","12 ( 12 )","13 ( 12 )"
"# 30","A ( W , A )","Brekalo","Fiorentina","15 ( 17 )","11 ( 13 )"
"# 31","A ( A )","Kouame '","Fiorentina","8 ( 9 )","8 ( 8 )"
"# 32","A ( Pc )","Kokorin","Fiorentina","1 ( 1 )","1 ( 1 )"
"Frosinone","","","","",""
"# 1 *","P ( Por )","Turati","Frosinone","6 ( 6 )","4 ( 4 )"
"* # 2","P ( Por )","Cerofolini","Frosinone","1 ( 1 )","2 ( 2 )"
"* # 3","P ( Por )","Palmisani","Frosinone","1 ( 1 )","1 ( 1 )"
"* # 4","D ( Ds , Dc )","Marchizza","Frosinone","5 ( 7 )","6 ( 6 )"
"* # 5","D ( DC )","Romagnoli S.","Frosinone","6 ( 6 )","5 ( 5 )"
"* # 6","D ( DC )","Monterisi","Frosinone","6 ( 6 )","4 ( 4 )"
"* # 7","D ( Dd , E )","Lirola","Frosinone","5 ( 5 )","3 ( 3 )"
"# 8","D ( Dd , Ds , Dc )","Oyono","Frosinone","8 ( 12 )","2 ( 2 )"
