,RT,Squadra,Nome,Kap.,350K (8),350K (10),500K (8),500K (10)
446,D,Fiorentina,PONGRACIC Marin,13,15.19,18.68,13.10,18.29
447,D,Juventus,CABAL Juan,13,17.10,20.78,12.01,14.93
448,C,Lecce,OUDIN Remi,13,,13.84,,
449,C,Bologna,ILING-JUNIOR Samuel,13,14.52,18.01,,6.89
450,D,Verona,TCHATCHOUA Jackson,13,14.73,18.23,12.83,15.09
451,C,Udinese,PAYERO Martin,13,,14.74,,7.24
452,D,Atalanta,GODFREY Ben,13,15.82,18.63,,6.68
453,A,Lecce,MORENTE Tete,13,,14.90,,
454,C,Udinese,KARLSTROM Jesper,13,,17.23,,6.89
455,C,Milan,FOFANA Youssouf,13,21.97,23.73,12.63,17.56
456,C,Como,ROBERTO Sergi,13,14.18,17.66,12.89,15.39
457,C,Roma,KONE Manu,13,15.38,16.90,17.98,18.37
458,D,Como,VARANE Raphaël,14,15.26,16.50,,7.25
459,C,Venezia,DUNCAN Alfred,14,,14.98,,7.28
460,D,Inter,ACERBI Francesco,14,17.22,21.07,15.45,18.41
461,D,Cagliari,LUPERTO Sebastiano,14,16.16,19.95,12.96,17.66
462,D,Atalanta,DJIMSITI Berat,14,16.21,16.65,13.60,17.94
463,D,Roma,HUMMELS Mats,14,,12.66,,
464,C,Napoli,FOLORUNSHO Michael,14,,13.69,13.20,14.39
465,C,Milan,BENNACER Ismael,14,15.27,16.92,,7.30
466,C,Lazio,CASTROVILLI Gaetano,14,16.06,19.49,13.70,17.01
467,A,Empoli,GYASI Emmanuel,14,15.84,17.60,13.60,17.28
468,C,Estero,MIRANCHUK Aleksey,14,,,,
469,A,Parma,MIHAILA Valentin,14,15.09,16.12,14.01,17.39
470,D,Atalanta,SCALVINI Giorgio,14,17.77,21.64,,7.95
471,C,Estero,TESSMANN Tanner,14,,,,13.49
472,C,Bologna,AEBISCHER Michel,14,17.41,20.88,13.77,16.67
473,C,Inter,CARLOS AUGUSTO -,14,15.59,15.97,13.81,17.54
474,D,Bologna,HOLM Emil,14,16.26,20.06,13.18,17.15
475,C,Fiorentina,DODO -,14,16.42,20.08,16.78,19.17
476,D,Atalanta,HIEN Isak,14,15.47,18.99,13.82,18.03
477,A,Napoli,NGONGE Cyril,14,,16.69,,7.42
478,D,Como,DOSSENA Alberto,14,16.08,20.06,22.96,24.06
479,C,Juventus,WEAH Timothy,14,17.85,21.25,13.62,18.96
480,A,Udinese,BRENNER -,14,18.13,21.36,13.30,16.75
481,A,Bologna,NDOYE Dan,14,16.54,19.88,12.36,16.91
482,C,Lecce,MARCHWINSKI Filip,14,15.65,15.89,14.02,17.69
483,A,Parma,BENEDYCZAK Adrian,14,17.78,20.94,,8.48
484,C,Fiorentina,RICHARDSON Amir,14,16.15,16.68,13.63,17.97
485,C,Como,VERDI Simone,15,,15.73,,16.43
486,C,Fiorentina,MANDRAGORA Rolando,15,19.64,23.23,15.67,19.31
487,C,Atalanta,DE ROON Marten,15,20.06,23.48,14.57,19.16
488,A,Juventus,MILIK Arek,15,22.44,25.72,,7.55
489,D,Roma,MANCINI Gianluca,15,19.95,23.21,15.11,20.86
490,C,Juventus,LOCATELLI Manuel,15,17.41,21.56,14.38,19.47
491,C,Como,MAZZITELLI Luca,15,,16.32,14.57,18.51
492,A,Como,CUTRONE Patrick,15,21.29,24.96,14.57,18.72
493,P,Torino,MILINKOVIC Vanja,15,19.71,20.64,16.50,21.28
494,A,Monza,DANY MOTA -,15,,17.04,,7.95
495,A,Udinese,THAUVIN Florian,15,19.32,23.23,16.84,30.43
496,P,Fiorentina,TERRACCIANO Pietro,15,17.05,18.55,14.82,19.09
497,C,Napoli,GAETANO Gianluca,15,16.73,16.86,14.31,20.88
498,C,Cagliari,GAETANO Gianluca,15,16.73,16.86,14.31,20.88
499,C,Torino,RICCI Samuele,15,19.48,22.76,19.86,23.24
500,P,Atalanta,CARNESECCHI Marco,15,21.47,27.96,20.64,27.20
501,D,Fiorentina,MARTINEZ QUARTA Lucas,15,19.65,22.88,14.23,18.30
502,D,Bologna,POSCH Stefan,15,16.62,20.73,14.95,19.34
503,D,Roma,NDICKA Evan,15,16.91,17.07,15.01,19.20
504,D,Roma,ANGELINO Jose,15,16.70,16.78,14.71,18.78
505,C,Roma,LE FEE Enzo,15,17.07,17.64,17.81,20.77
506,A,Como,PAZ Nico,15,16.46,16.62,15.68,19.31
507,D,Torino,MARIPAN Guillermo,15,,19.00,,
508,C,Roma,EL SHAARAWY Stephan,16,17.91,21.83,24.94,28.85
509,P,Bologna,SKORUPSKI Lukasz,16,18.85,21.65,17.50,21.90
510,C,Roma,CRISTANTE Bryan,16,18.39,22.37,17.84,20.86
511,P,Napoli,MERET Alex,16,28.74,32.56,30.07,33.62
512,C,Bologna,FREULER Remo,16,18.09,22.39,22.01,24.12
513,A,Monza,CAPRARI Gianluca,16,,17.36,,18.02
514,P,Lazio,PROVEDEL Ivan,16,18.29,22.94,21.23,23.36
515,C,Juventus,FAGIOLI Nicolo,16,18.04,22.53,14.36,19.03
516,A,Bologna,CAMBIAGHI Nicolo,16,,18.42,,
517,D,Napoli,RRAHMANI Amir,16,18.38,22.29,17.59,21.03
518,C,Genoa,MESSIAS Junior,16,18.47,19.31,14.41,22.93
519,C,Atalanta,RUGGERI Matteo,16,18.21,19.14,16.15,20.68
520,C,Venezia,ORISTANIO Gaetano Pio,16,17.98,22.07,15.52,18.91
521,C,Roma,BALDANZI Tommaso,16,18.96,23.43,14.66,20.43
522,C,Verona,HARROUI Abdou,16,18.25,22.50,15.34,19.47
523,C,Genoa,FRENDRUP Morten,16,18.00,21.50,14.83,19.65
524,A,Lecce,BANDA Lameck,16,,15.88,,16.96
525,C,Lazio,GUENDOUZI Matteo,16,18.89,22.71,16.29,21.54
526,C,Lazio,TCHAOUNA Loum,16,20.15,23.93,16.10,19.52
527,C,Como,DA CUNHA Lucas,16,18.23,18.57,21.65,23.77
528,C,Juventus,THURAM Khéphren,16,24.42,28.66,14.69,23.73
529,A,Parma,BONNY Ange-Yoan,16,21.95,26.61,18.10,25.04
530,D,Torino,COCO Saul,16,18.35,22.29,15.74,18.21
531,D,Milan,EMERSON ROYAL Leite de Souza Júnior,16,17.23,18.75,13.67,19.03
532,D,Atalanta,KOSSOUNOU Odilon,16,18.85,22.13,15.54,19.33
533,D,Roma,HERMOSO Mario,16,18.04,22.09,,10.95
534,C,Atalanta,ZAPPACOSTA Davide,17,18.60,19.19,15.03,19.46
535,A,Monza,DJURIC Milan,17,19.19,23.54,19.45,23.14
536,C,Napoli,SPINAZZOLA Leonardo,17,18.63,18.75,20.21,20.52
537,A,Napoli,SIMEONE Giovanni,17,20.50,24.34,,8.32
538,D,Napoli,BUONGIORNO Alessandro,17,22.83,27.42,19.86,25.98
539,C,Atalanta,BELLANOVA Raoul,17,23.48,28.66,22.92,29.03
540,D,Juventus,DANILO -,17,18.94,23.27,15.85,21.56
541,D,Inter,PAVARD Benjamin,17,21.99,26.66,20.77,25.11
542,A,Cagliari,PICCOLI Roberto,17,19.25,22.95,15.41,20.51
543,C,Como,STREFEZZA Gabriel,17,18.10,18.78,24.27,26.50
544,A,Monza,MALDINI Daniel,17,19.24,23.10,19.03,21.91
545,C,Napoli,LOBOTKA Stanislav,17,18.78,22.66,16.67,22.03
546,A,Empoli,COLOMBO Lorenzo,17,20.13,24.84,20.22,25.91
547,A,Cagliari,LUVUMBO Zito,17,19.01,23.29,16.93,21.58
548,D,Milan,TOMORI Fikayo,17,18.10,18.85,17.00,23.26
549,D,Juventus,CAMBIASO Andrea,17,23.07,28.70,24.69,31.04
550,P,Roma,SVILAR Mile,17,24.74,25.93,24.27,28.55
551,C,Udinese,LOVRIC Sandi,17,19.57,23.52,15.58,20.09
552,A,Parma,ALMQVIST Pontus,17,,28.66,17.01,20.10
553,A,Milan,OKAFOR Noah,17,19.02,20.23,14.21,19.06
554,C,Milan,CHUKWUEZE Samuel,17,25.20,28.34,22.38,26.73
555,A,Fiorentina,BELTRAN Lucas,17,19.99,22.07,17.01,21.87
556,C,Verona,SUSLOV Tomas,17,19.42,23.16,15.98,21.35
557,A,Genoa,VITINHA -,17,20.48,21.92,15.76,22.28
558,A,Verona,MOSQUERA Daniel,17,19.13,23.60,15.85,22.08
559,D,Milan,PAVLOVIC Strahinja,17,20.73,25.85,20.88,27.20
560,A,Verona,TENGSTEDT Casper,17,18.31,19.05,,8.93
561,C,Fiorentina,BIRAGHI Cristiano,18,21.18,24.60,21.27,25.89
562,P,Milan,MAIGNAN Mike,18,29.02,34.92,28.81,37.84
563,C,Inter,DUMFRIES Denzel,18,19.65,23.11,17.24,22.56
564,C,Milan,REIJNDERS Tijjani,18,19.47,24.38,16.13,20.77
565,A,Estero,TOURE El Bilal,18,,12.66,,
566,A,Lazio,ISAKSEN Gustav,18,21.56,27.82,20.56,26.21
567,C,Inter,ZIELINSKI Piotr,19,19.02,19.81,22.51,22.08
568,A,Torino,SANABRIA Antonio,19,24.70,29.25,23.42,27.31
569,D,Inter,BASTONI Alessandro,19,25.15,30.18,30.52,34.75
570,C,Fiorentina,GOSENS Robin,19,29.14,31.73,36.17,38.52
571,C,Atalanta,ZANIOLO Nicolò,19,23.14,28.44,25.18,30.74
572,D,Juventus,BREMER Gleison,19,27.14,32.37,23.67,31.54
573,C,Genoa,MALINOVSKIY Ruslan,19,21.82,25.69,17.89,22.17
574,C,Torino,ILIC Ivan,19,21.24,26.40,18.33,22.59
575,C,Bologna,FABBIAN Giovanni,19,18.10,22.37,20.00,22.54
576,A,Milan,ABRAHAM Tammy,19,23.04,27.54,39.50,41.11
577,C,Napoli,ANGUISSA André Zambo,19,19.34,21.13,17.77,22.54
578,C,Atalanta,EDERSON -,19,23.65,25.16,21.51,28.67
579,A,Juventus,YILDIZ Kenan,19,37.11,47.85,36.08,39.38
580,C,Atalanta,PASALIC Mario,20,23.88,29.77,21.99,30.00
581,C,Monza,PESSINA Matteo,20,23.57,27.47,18.39,24.90
582,C,Inter,MKHITARYAN Henrikh,20,28.67,33.48,23.94,30.05
583,C,Torino,VLASIC Nikola,20,22.59,28.07,16.42,22.10
584,A,Lazio,NOSLIN Tijjani,20,22.15,22.64,29.35,24.22
585,A,Juventus,CONCEICAO Fernandes Francisco,20,20.43,22.71,21.55,29.90
586,P,Juventus,DI GREGORIO Michele,21,45.55,52.73,41.28,53.65
587,D,Milan,HERNANDEZ Theo,21,35.91,42.94,38.11,45.01
588,A,Udinese,SANCHEZ Alexis,22,25.62,31.10,30.98,35.70
589,A,Como,BELOTTI Andrea,22,41.47,42.74,21.52,28.89
590,A,Genoa,PINAMONTI Andrea,22,43.84,46.99,29.79,38.85
591,C,Inter,FRATTESI Davide,22,22.74,23.81,18.72,29.92
592,A,Lazio,DIA Boulaye,22,31.94,37.06,42.83,44.25
593,C,Parma,BERNABE Adrian,22,23.23,24.02,22.57,27.95
594,A,Torino,ADAMS Che,22,22.90,27.87,20.66,26.23
595,A,Venezia,POHJANPALO Joel,22,26.84,32.75,24.69,31.23
596,P,Inter,SOMMER Yann,23,50.80,58.42,53.36,58.05
597,A,Bologna,ORSOLINI Riccardo,23,30.39,33.29,22.26,32.24
598,A,Inter,TAREMI Mehdi,23,42.08,48.09,25.44,35.55
599,C,Fiorentina,COLPANI Andrea,23,29.38,34.10,28.51,35.24
600,C,Napoli,DI LORENZO Giovanni,23,27.60,33.44,21.78,28.18
601,C,Bologna,FERGUSON Lewis,23,26.02,30.86,29.71,33.59
602,A,Lecce,KRSTOVIC Nikola,23,25.96,30.86,19.57,32.88
603,C,Inter,DIMARCO Federico,24,37.37,45.47,44.72,51.91
604,A,Parma,MAN Dennis,24,47.72,53.54,29.78,38.68
605,A,Bologna,DALLINGA Thijs,24,33.12,37.49,26.74,35.25
606,A,Napoli,NERES David Campos,24,36.40,36.96,38.59,38.55
607,A,Fiorentina,KEAN Moise,25,44.00,53.34,27.82,42.81
608,A,Roma,SOULE Matias,25,43.72,49.96,45.64,57.78
609,C,Napoli,MCTOMINAY Scott,25,35.05,43.28,35.98,44.12
610,C,Atalanta,SAMARDZIC Lazar,26,26.93,32.97,24.85,33.85
611,A,Udinese,LUCCA Lorenzo,26,25.91,27.86,30.80,33.27
612,A,Napoli,POLITANO Matteo,27,41.60,44.23,26.40,31.36
613,C,Roma,PELLEGRINI Lorenzo,27,31.72,36.09,31.52,44.37
614,C,Milan,LOFTUS-CHEEK Ruben,27,35.81,39.66,28.83,37.01
615,A,Lazio,CASTELLANOS Valentin,27,46.79,48.67,43.76,75.76
616,C,Juventus,DOUGLAS LUIZ -,27,27.92,35.00,37.15,41.31
617,C,Inter,BARELLA Nicolò,28,46.52,54.26,40.34,51.24
618,A,Estero,CHIESA Federico,28,,28.47,,12.04
619,A,Atalanta,DE KETELAERE Charles,29,33.70,41.81,33.79,51.96
620,A,Lazio,ZACCAGNI Mattia,31,44.80,49.80,36.42,49.01
621,A,Fiorentina,GUDMUNDSSON Albert,31,31.28,42.03,31.58,46.13
622,A,Juventus,GONZALEZ Nicolas,31,53.16,59.04,37.29,42.97
623,C,Juventus,KOOPMEINERS Teun,31,54.01,65.20,50.79,65.99
624,A,Atalanta,LOOKMAN Ademola,32,63.33,67.55,53.30,67.15
625,A,Atalanta,RETEGUI Mateo,32,67.26,71.79,71.56,101.17
626,A,Torino,ZAPATA Duvan,33,80.52,93.80,52.30,80.66
627,C,Inter,CALHANOGLU Hakan,34,75.67,86.48,63.77,86.77
628,A,Atalanta,SCAMACCA Gianluca,35,36.45,39.47,32.38,42.55
629,A,Roma,DOVBYK Artem,36,84.56,88.73,76.03,94.54
630,A,Milan,PULISIC Christian,37,64.63,76.31,50.03,65.97
631,A,Milan,MORATA Alvaro,38,101.85,110.92,58.54,91.85
632,A,Roma,DYBALA Paulo,39,65.28,68.12,53.74,69.37
633,A,Napoli,LUKAKU Romelu,41,107.86,124.03,156.70,148.75
634,A,Milan,LEAO Rafael,41,77.15,90.39,70.80,83.04
635,A,Napoli,OSIMHEN Victor,43,,45.47,,48.76
636,A,Estero,OSIMHEN Victor,43,,45.47,,48.76
637,A,Inter,THURAM Marcus,43,111.45,136.84,113.64,122.98
638,A,Napoli,KVARATSKHELIA Khvicha,44,94.70,111.04,79.99,101.52
639,A,Inter,MARTINEZ Lautaro,49,164.38,193.27,152.60,174.57
640,A,Juventus,VLAHOVIC Dusan,49,142.33,175.00,162.83,151.96
